Statistic,Quarter,Dwelling Status,UNIT,VALUE
Residential Property Price Index,2016Q4,New,Base 2015=100,109.6
Residential Property Price Index,2016Q4,Existing,Base 2015=100,112.5
Residential Property Price Index,2017Q1,All Dwelling Statuses,Base 2015=100,113.4
Residential Property Price Index,2017Q1,New,Base 2015=100,110.5
Residential Property Price Index,2017Q1,Existing,Base 2015=100,113.9
Residential Property Price Index,2017Q2,All Dwelling Statuses,Base 2015=100,115.9
Residential Property Price Index,2017Q2,New,Base 2015=100,111.6
Residential Property Price Index,2017Q2,Existing,Base 2015=100,116.6
Residential Property Price Index,2017Q3,All Dwelling Statuses,Base 2015=100,122.2
Residential Property Price Index,2017Q3,New,Base 2015=100,115.5
Residential Property Price Index,2017Q3,Existing,Base 2015=100,123.5
Residential Property Price Index,2017Q4,All Dwelling Statuses,Base 2015=100,125.2
Residential Property Price Index,2017Q4,New,Base 2015=100,116.4
Residential Property Price Index,2017Q4,Existing,Base 2015=100,126.9
Residential Property Price Index,2018Q1,All Dwelling Statuses,Base 2015=100,127.3
Residential Property Price Index,2018Q1,New,Base 2015=100,120.2
Residential Property Price Index,2018Q1,Existing,Base 2015=100,128.6
Residential Property Price Index,2018Q2,All Dwelling Statuses,Base 2015=100,130.4
Residential Property Price Index,2018Q2,New,Base 2015=100,124.1
Residential Property Price Index,2018Q2,Existing,Base 2015=100,131.4
Residential Property Price Index,2018Q3,All Dwelling Statuses,Base 2015=100,133.3
Residential Property Price Index,2018Q3,New,Base 2015=100,126.8
Residential Property Price Index,2018Q3,Existing,Base 2015=100,134.3
Residential Property Price Index,2018Q4,All Dwelling Statuses,Base 2015=100,134.2
Residential Property Price Index,2018Q4,New,Base 2015=100,127.9
Residential Property Price Index,2018Q4,Existing,Base 2015=100,135.2
Residential Property Price Index,2019Q1,All Dwelling Statuses,Base 2015=100,133
Residential Property Price Index,2019Q1,New,Base 2015=100,128
Residential Property Price Index,2019Q1,Existing,Base 2015=100,133.5
Residential Property Price Index,2019Q2,All Dwelling Statuses,Base 2015=100,133.7
Residential Property Price Index,2019Q2,New,Base 2015=100,129.4
Residential Property Price Index,2019Q2,Existing,Base 2015=100,134
Residential Property Price Index,2019Q3,All Dwelling Statuses,Base 2015=100,135.6
Residential Property Price Index,2019Q3,New,Base 2015=100,130.8
Residential Property Price Index,2019Q3,Existing,Base 2015=100,136.1
Residential Property Price Index,2019Q4,All Dwelling Statuses,Base 2015=100,135.3
Residential Property Price Index,2019Q4,New,Base 2015=100,131.1
Residential Property Price Index,2019Q4,Existing,Base 2015=100,135.6
Residential Property Price Index,2020Q1,All Dwelling Statuses,Base 2015=100,134.3
Residential Property Price Index,2020Q1,New,Base 2015=100,131.3
Residential Property Price Index,2020Q1,Existing,Base 2015=100,134.1
Residential Property Price Index,2020Q2,All Dwelling Statuses,Base 2015=100,134.2
Residential Property Price Index,2020Q2,New,Base 2015=100,132.1
Residential Property Price Index,2020Q2,Existing,Base 2015=100,133.7
Residential Property Price Index,2020Q3,All Dwelling Statuses,Base 2015=100,134.6
Residential Property Price Index,2020Q3,New,Base 2015=100,133
Residential Property Price Index,2020Q3,Existing,Base 2015=100,133.9
