id,sold_price,predicted_price
1132446,500000,511065.5975
1258289,600000,600375.823375
454435,710000,453366.46940625005
629436,580000,579393.455875
1125048,132819,143492.0245
1725784,152000,158703.58546875
698259,220000,213450.0515
1452624,340000,349451.03175
1907782,715000,725190.4301250001
1048782,148000,134025.01475
1192792,955000,945670.033
797818,222000,221651.6990625
926385,665000,374132.1828125
630219,515000,518575.5290625
1658041,204500,198654.8396875
1049569,375000,378448.258125
561459,150000,152124.05221875
1315564,332000,331987.8825
1366392,410000,404744.9735
1132627,815000,818343.9679999999
318174,2150000,2154069.45075
1270086,275000,270504.745875
80179,251000,174470.695
474101,375000,376055.36596875
568583,338000,339068.91796875
727668,425000,427179.50600000005
1102541,317000,309710.1216875
797440,440000,436546.1296875
941736,145000,148708.4422265625
432041,420000,423305.69118749996
455002,799890,800226.2343125
384130,180000,304250.58259375
980848,345000,342482.25346875
854152,148000,213056.3536875
1445024,350000,349331.92812500003
209258,925000,924218.6892500002
1397726,395000,383463.43250000005
1359976,360000,349389.90637499996
1507550,221000,220032.760765625
567012,375000,373413.04706250003
302415,75000,78703.3345
173549,160299,152977.18437499998
1846867,430000,432418.14524999994
226101,151277,153326.345921875
1444197,243956,237832.91803125
573270,260000,260221.635
1620542,402000,473832.87453125004
1127788,525000,516846.82725
1635419,246608,650951.139125
1390439,335000,379126.158125
881491,650000,665090.4434999999
1794106,99000,109554.01831249999
1681250,320000,325483.73325
812088,126000,132006.5938515625
1460122,495000,500035.9814375
442460,245000,241009.92309375
652873,575000,583434.96859375
633214,1000000,1000618.2965625001
1124048,255000,247674.14375
1391618,860000,865058.2801875002
626706,305000,290569.67534375004
1277391,278573,305337.2080625
744380,450000,472606.0119375
1094197,200000,200116.449
1851764,148000,157509.73671875
888654,244000,253341.17615625
224380,302500,299949.98259375
57818,321000,338472.10959375
1558617,140000,138230.18390625002
467768,230000,291417.8678125
1914131,596500,592288.65815625
630636,180000,176874.81875
843463,685000,687053.890125
884542,448017,430752.38625000004
53729,168000,165138.451171875
1855099,220000,244006.88906250003
203767,1087500,1086767.105625
142261,240000,229541.43859375
1060003,302500,306923.58928125
538303,240000,238858.8789375
202698,100000,98185.88401562501
173191,401000,406929.0525
1756061,222000,216914.1339375
1296409,245000,250798.53740625002
1711065,255000,251786.43740625004
1442042,395000,315760.69290624995
1011441,1000000,1000393.8099999999
934059,502000,499561.55012499995
691089,295000,294889.02975
166051,120264,120295.6826796875
739484,190970,192741.70518750002
888649,265000,269276.72400000005
897179,510000,514859.301
1894546,206390,161542.35684375
736741,125000,139058.73190625
1368804,175000,163288.38400000002
1136591,178619,182371.9128125
1201704,265000,284705.694
614789,423000,422193.41903125
1379684,326000,325978.4023125
1049496,2205000,2100422.828
1462689,448018,451080.73687500006
774636,256000,250763.9485
1132850,105000,101351.067125
1238538,395000,389862.4235
691677,320000,317067.41625
1201557,150000,147210.63787500001
508850,632000,615092.11140625
564509,233000,231225.62953125
408291,150000,152869.22
1779600,975000,972029.543125
386610,347500,392237.62921875005
321103,1144933,1145389.727625
865584,210000,203291.75384375
1628309,510000,493227.4614375
980954,425000,424094.63843750005
1759913,836299,791235.305625
470165,485000,475389.78793750005
111456,132000,169044.32278125
1542873,190000,206292.31126562497
1034483,330000,323593.51171875
1860182,330000,431629.13671875
940055,285000,276849.89915625
462475,260000,255607.59500000003
1611927,220000,222802.3865
1880856,186450,176389.652953125
1146817,247500,238839.4886875
866580,182000,185143.69475
699099,202000,254958.33060937503
1880903,282000,260646.96384375004
857869,433000,398522.57453125005
755060,425000,420874.4409375
1388458,315000,326852.88325
1505737,124000,138953.96221875
750984,290000,291124.12450000003
1885764,220000,225246.78725
378808,376000,377675.12743750005
1935623,430000,349986.427125
1057124,260000,257034.87928125003
1056755,580000,578450.1385
107487,505000,513406.2788437501
343990,290000,289172.3390625
20812,1270000,1260489.85425
1238647,232500,215961.91759375
962223,148000,147812.11959375002
945325,316411,316769.50500000006
1038378,195000,202707.26162499998
1483060,187000,179186.143125
711619,359000,370889.80312500003
1201714,237000,233774.27774999998
988419,940000,935802.334375
1710402,302000,306456.8275
1018370,170000,169155.59821874998
1250999,230000,225967.812125
1548645,150500,158543.24890625
1650360,161000,162577.72182812498
321386,316000,323374.88671875
1608116,572467,571493.649
1033373,950000,958073.7487499999
35175,135000,139519.91437500002
1292398,515000,521405.8275
781447,198000,195479.768453125
317293,280000,279435.04917187506
347560,340000,327851.2396875
995111,297000,273912.7925
688618,865000,865686.9275
508493,485000,480380.11218750005
1885766,160000,160987.56175000002
416018,1150000,382521.31775
1832387,282444,286347.438
401088,118000,122886.13225000001
271660,398700,386552.9809375
946189,430000,435877.62890625
880988,300000,298108.85378124996
556836,260000,249607.0971875
119620,205000,205288.988125
618841,450000,364918.44674999994
271897,425000,425824.40437500004
286699,435000,435592.115
149698,455000,463238.68171875004
1908594,625000,639555.6899375
1368783,353333,364934.42750000005
812846,855000,848448.426
1578976,150000,179385.837890625
996205,108000,112488.816109375
1774597,301000,300629.67000000004
483285,300000,281047.34500000003
1859455,310000,309232.2193125
3128,292000,293947.99434375
195473,115000,114236.915625
1153696,225000,225644.18625
401088,270000,264428.20906250004
1155134,241500,237539.54059375
612331,487750,361918.79296875
1482609,541600,541496.965
267701,260000,239766.828125
1284330,402000,383668.94656250003
1527465,375000,376028.2067812501
1520886,315000,266686.394
744017,303656,298461.064984375
1635204,210000,213012.11628124997
1178432,618000,606506.9176562501
820910,162000,162304.76015625
842741,225000,231036.35746874998
1635395,610000,619564.75875
561074,142550,211471.62890625
569254,780000,784399.60875
1436643,1535500,1009319.201
579748,327700,351145.22587500006
1109634,267000,268389.4345
1056642,150000,148525.8402578125
1769448,237000,234931.06799999997
866539,235000,261693.82840625002
1300086,130000,159790.08740625
652326,300000,331190.5181875
53730,201000,205253.123625
809420,796476,791584.5196875
853955,202000,182335.5378125
1026620,230000,221998.61759374998
678707,995594,995946.8495
110169,199000,189580.063828125
383885,480000,497060.1641875001
550465,160000,197249.439453125
870269,435000,444882.17334375007
592321,151200,290318.15925
300174,270000,177072.24393750002
1382050,592650,591740.2156250001
26850,500000,395180.45406250004
8535,230000,250786.722046875
435973,140000,143162.745171875
1611620,220000,222136.74478125002
865574,640000,642070.422
545861,103000,111053.5110625
591313,188000,166773.20146875002
1793749,475000,472065.7095
371717,165000,175363.5214375
1931869,900000,896632.6045625
1863283,395000,501809.44921875
1406937,260000,252206.28562500002
805740,625000,633012.9626249999
1086472,280000,282137.09343749995
1231941,295000,290973.1925
1696711,450000,439254.73828125
1688203,300000,298167.899375
988190,805000,801867.1659375
1367824,190000,201957.05521875
1170641,734000,731398.2845
832306,63000,79669.785234375
69054,497798,498998.61562500003
